Date,Time,BattVolt.V,CO2.mV,CO2.ppm,CO2.ppm.cal,system.temp,RH.pct,chamber.temp.degC,sample,system,Location
2018-10-02,16:34:13,12.374,2.1904,438.08,413.08,20.032,80.765,19.605,1,system1,grass.bare
2018-10-02,16:34:14,12.39,2.1958,439.15,414.15,20.032,80.788,19.605,1,system1,grass.bare
2018-10-02,16:34:15,12.379,2.1887,437.74,412.74,20.032,80.878,19.605,1,system1,grass.bare
2018-10-02,16:34:16,12.284,2.1819,436.39,411.39,20.032,81.014,19.605,1,system1,grass.bare
2018-10-02,16:34:17,12.363,2.1882,437.63,412.63,20.032,81.037,19.605,1,system1,grass.bare
2018-10-02,16:34:18,12.418,2.1871,437.42,412.42,20.032,81.195,19.605,1,system1,grass.bare
2018-10-02,16:34:19,12.415,2.1902,438.05,413.05,20.015,81.195,19.605,1,system1,grass.bare
2018-10-02,16:34:20,12.273,2.1818,436.36,411.36,20.032,81.309,19.605,1,system1,grass.bare
2018-10-02,16:34:21,12.303,2.1888,437.77,412.77,20.015,81.422,19.605,1,system1,grass.bare
2018-10-02,16:34:22,12.407,2.1904,438.08,413.08,19.998,81.377,19.605,1,system1,grass.bare
2018-10-02,16:34:23,12.393,2.1778,435.56,410.56,20.015,81.422,19.605,1,system1,grass.bare
2018-10-02,16:34:24,12.27,2.1799,435.97,410.97,19.998,81.49,19.605,1,system1,grass.bare
2018-10-02,16:34:25,12.344,2.1792,435.84,410.84,19.998,81.467,19.605,1,system1,grass.bare
2018-10-02,16:34:26,12.396,2.1813,436.25,411.25,19.998,81.49,19.605,1,system1,grass.bare
2018-10-02,16:34:27,12.39,2.1861,437.22,412.22,19.998,81.49,19.605,1,system1,grass.bare
2018-10-02,16:34:28,12.24,2.1878,437.56,412.56,19.998,81.512,19.605,1,system1,grass.bare
2018-10-02,16:34:29,12.368,2.1904,438.08,413.08,19.998,81.558,19.605,1,system1,grass.bare
2018-10-02,16:34:30,12.382,2.1911,438.22,413.22,19.998,81.558,19.605,1,system1,grass.bare
2018-10-02,16:34:31,12.415,2.1926,438.53,413.53,19.998,81.648,19.605,1,system1,grass.bare
2018-10-02,16:34:32,12.399,2.1999,439.98,414.98,19.998,81.694,19.605,1,system1,grass.bare
2018-10-02,16:34:33,12.297,2.2063,441.26,416.26,19.998,81.739,19.605,1,system1,grass.bare
2018-10-02,16:34:34,12.295,2.2054,441.08,416.08,19.998,81.784,19.605,1,system1,grass.bare
2018-10-02,16:34:35,12.355,2.2165,443.29,418.29,19.998,81.936,19.605,1,system1,grass.bare
2018-10-02,16:34:36,12.305,2.2175,443.5,418.5,19.981,81.988,19.605,1,system1,grass.bare
2018-10-02,16:34:37,12.371,2.2137,442.74,417.74,19.981,82.079,19.605,1,system1,grass.bare
2018-10-02,16:34:38,12.393,2.2104,442.09,417.09,19.981,82.276,19.605,1,system1,grass.bare
2018-10-02,16:34:39,12.393,2.2178,443.57,418.57,19.964,82.396,19.605,1,system1,grass.bare
2018-10-02,16:34:40,12.251,2.2173,443.47,418.47,19.964,82.645,19.605,1,system1,grass.bare
2018-10-02,16:34:41,12.327,2.2229,444.57,419.57,19.964,82.826,19.605,1,system1,grass.bare
2018-10-02,16:34:42,12.289,2.2146,442.92,417.92,19.981,83.03,19.605,1,system1,grass.bare
2018-10-02,16:34:43,12.381,2.2246,444.92,419.92,19.964,83.302,19.605,1,system1,grass.bare
2018-10-02,16:34:44,12.414,2.2206,444.12,419.12,19.964,83.415,19.605,1,system1,grass.bare
2018-10-02,16:34:45,12.319,2.2146,442.92,417.92,19.964,83.596,19.605,1,system1,grass.bare
2018-10-02,16:34:46,12.396,2.2268,445.36,420.36,19.964,83.823,19.605,1,system1,grass.bare
2018-10-02,16:34:47,12.265,2.2254,445.09,420.09,19.964,84.026,19.605,1,system1,grass.bare
2018-10-02,16:34:48,12.366,2.2319,446.37,421.37,19.964,84.208,19.605,1,system1,grass.bare
2018-10-02,16:34:49,12.379,2.2332,446.65,421.65,19.964,84.366,19.605,1,system1,grass.bare
2018-10-02,16:34:50,12.374,2.2401,448.03,423.03,19.976,84.525,19.617,1,system1,grass.bare
2018-10-02,16:34:51,12.39,2.2296,445.92,420.92,19.964,84.729,19.605,1,system1,grass.bare
2018-10-02,16:34:52,12.242,2.2413,448.27,423.27,19.964,84.881,19.605,1,system1,grass.bare
2018-10-02,16:34:53,12.262,2.2323,446.47,421.47,19.964,85.039,19.605,1,system1,grass.bare
2018-10-02,16:34:54,12.262,2.2346,446.92,421.92,19.964,85.159,19.605,1,system1,grass.bare
2018-10-02,16:34:55,12.374,2.2413,448.27,423.27,19.947,85.288,19.605,1,system1,grass.bare
2018-10-02,16:34:56,12.349,2.247,449.41,424.41,19.947,85.453,19.605,1,system1,grass.bare
2018-10-02,16:34:57,12.396,2.2415,448.3,423.3,19.947,85.566,19.605,1,system1,grass.bare
2018-10-02,16:34:58,12.314,2.2505,450.1,425.1,19.947,85.696,19.605,1,system1,grass.bare
2018-10-02,16:34:59,12.284,2.2436,448.72,423.72,19.947,85.793,19.605,1,system1,grass.bare
2018-10-02,16:35:00,12.366,2.2539,450.79,425.79,19.947,85.861,19.605,1,system1,grass.bare
2018-10-02,16:35:01,12.292,2.2503,450.06,425.06,19.947,85.974,19.605,1,system1,grass.bare
2018-10-02,16:35:02,12.412,2.2482,449.65,424.65,19.947,86.065,19.605,1,system1,grass.bare
2018-10-02,16:35:03,12.41,2.2506,450.13,425.13,19.947,86.178,19.605,1,system1,grass.bare
